Project,,https://www.labirint.ru/,
Date,,03.05.2023,
Build,,1.0,
Tester,,Наталья Тисовская,
Environment,,"Windows 7 Version 6.1
Google Chrome 109.0.5414.120 (Официальная сборка)",
Module,Summary,Status,Commentaries
Регистрация,"Проверить кнопку ""Вход или регистрация в Лабиринте""",Passed,
,Регистрация по валидному номеру телефона,Passed,
,Ввести правильный код подтверждения по звонку,Passed,
,Ввести неправильный код подтверждения по звонку,Passed,
,Ввести правильный код подтверждения в сообщении,Passed,
,Ввести неправильный код подтверждения в сообщении,Passed,
,Отправить код еще раз,Passed,
,Закрыть окно проверки без ввода кода и открыть окно регистрации,Failed,После открытия окна регистрации отображается поле ввода кода подтверждения. Для сброса приходится обновлять страницу
,Регистрация по невалидному номеру телефона,Passed,
,Регистрация по валидному адресу электронной почты,Passed,
,"Ввести правильный код скидки, присланный на эл.почту",Passed,
,"Ввести неправильный код скидки, присланный на эл.почту",Passed,
,Отправить код скидки еще раз,Passed,
,Закрыть окно проверки без ввода кода,Passed,
,Регистрация по невалидному адресу электронной почты,Passed,
,Войти по валидному коду скидки,Passed,
,"Проверить кнопку ""Другие способы входа""",Passed,
,Войти по невалидному коду скидки,Passed,
,Войти с  существующим аккаунтом VK,Passed,
,Войти с  несуществующим аккаунтом VK,Passed,
,Отклонить разрешение доступа к аккаунту VK,Passed,
,Войти с  существующим аккаунтом Ok,Passed,
,Войти с  существующим аккаунтом Ok,Passed,
,Войти с  несуществующим аккаунтом Mail,Passed,
,Войти с  существующим аккаунтом Mail,Passed,
,Войти с  существующим аккаунтом Яндекс,Passed,
,Войти с  несуществующим аккаунтом Яндекс,Passed,
,Войти с  существующим аккаунтом Google,Passed,
,Войти с  несуществующим аккаунтом Google,Passed,
